timestamp,open,high,low,close,volume
2019-05-05,251.59,251.59,246.75,246.75,40
2019-05-06,235.15,235.15,231.28,231.28,40
2019-05-07,220.64,220.64,209.03,209.03,60
2019-05-08,199.35,199.35,199.35,199.35,10
2019-05-20,189.67,189.67,183.86,183.86,50
2019-05-23,175.15,175.15,175.15,175.15,20
2019-05-30,166.45,166.45,157.74,157.74,210
2019-06-02,149.99,149.99,142.25,142.25,2120
2019-06-03,135.48,135.48,128.71,128.71,460
2019-06-04,122.9,132.58,116.13,132.58,64549
2019-06-06,126.77,126.77,120.0,125.81,13400
2019-06-10,120.0,124.83,118.06,121.93,17740
2019-06-11,121.93,133.54,119.02,133.54,69329
2019-06-12,135.47,139.34,129.66,134.5,19848
2019-06-13,132.56,136.44,128.69,134.5,16450
2019-06-16,132.56,135.47,127.72,131.59,9209
2019-06-17,129.66,135.47,128.69,131.59,11109
2019-06-18,129.66,135.47,128.69,131.59,4539
2019-06-19,131.59,135.46,131.59,133.53,6140
2019-06-20,131.6,143.21,129.66,141.27,9421
2019-06-23,139.35,139.35,131.6,134.51,3204
2019-06-24,132.57,136.44,131.61,136.44,1110
2019-06-25,134.51,136.44,131.6,134.51,2865
2019-06-26,132.56,143.21,131.6,143.21,8790
2019-06-27,141.27,141.27,133.53,136.44,9420
2019-06-30,130.63,143.21,130.63,137.4,2270
2019-07-01,135.47,135.47,132.57,132.57,880
2019-07-02,132.57,135.47,131.6,135.47,5050
2019-07-03,134.5,138.37,133.53,138.37,3190
2019-07-04,139.33,139.33,133.53,133.53,2150
2019-07-07,134.5,135.46,133.53,135.46,3770
2019-07-08,133.53,133.53,131.6,132.56,4150
2019-07-09,130.63,134.5,130.63,134.5,1130
2019-07-10,132.56,133.53,130.63,131.59,2269
2019-07-11,130.63,132.56,130.63,131.59,1010
2019-07-14,129.66,133.53,129.66,131.59,980
2019-07-15,129.66,132.57,129.66,132.57,1730
2019-07-16,130.63,132.57,130.63,132.57,1159
2019-07-17,130.63,134.5,130.63,134.5,1610
2019-07-18,132.56,135.47,130.63,130.63,270
2019-07-21,132.56,132.56,129.66,130.63,410
2019-07-22,130.63,133.53,129.66,131.6,1651
2019-07-23,133.54,134.5,130.63,134.5,1480
2019-07-24,129.67,135.47,129.67,135.47,1650
2019-07-28,133.54,133.54,127.74,127.74,1920
2019-07-29,125.81,131.61,125.81,128.71,1290
2019-07-30,126.78,132.58,125.81,132.58,1468
2019-07-31,130.65,130.65,127.74,130.65,876
2019-08-01,128.71,132.58,126.78,130.65,730
2019-08-04,128.72,128.72,125.81,126.78,1860
2019-08-05,124.84,127.74,124.84,127.74,970
2019-08-06,125.81,128.71,123.88,128.71,840
2019-08-07,126.78,132.59,123.88,132.59,1060
2019-08-11,130.65,130.65,121.94,121.94,870
2019-08-12,120.97,122.91,120.01,121.94,1860
2019-08-13,120.98,121.95,115.17,118.08,8400
2019-08-14,116.14,118.08,116.14,116.14,900
2019-08-15,114.21,115.18,110.34,112.27,1220
2019-08-18,110.33,113.24,109.37,113.24,1000
2019-08-19,111.3,113.24,109.37,111.3,1165
2019-08-20,109.36,109.36,100.65,100.65,19951
2019-08-21,98.72,105.49,93.88,105.49,6490
2019-08-22,103.55,107.42,101.61,107.42,3900
2019-08-25,105.48,105.48,97.74,99.68,1000
2019-08-26,98.71,101.61,98.71,101.61,620
2019-08-27,99.67,99.67,98.7,98.7,340
2019-08-28,96.77,99.67,96.77,98.7,2530
2019-08-29,96.77,98.7,96.77,96.77,580
2019-09-01,94.83,98.7,94.83,96.77,610
2019-09-02,96.77,96.77,94.83,94.83,1500
2019-09-03,95.8,96.77,90.96,93.87,1788
2019-09-04,93.87,102.58,91.93,102.58,420
2019-09-05,100.64,102.58,95.8,102.58,1110
2019-09-08,100.64,100.64,93.87,93.87,730
2019-09-09,93.87,95.8,92.9,95.8,380
2019-09-10,94.83,94.83,92.9,94.83,390
2019-09-11,95.8,95.8,94.83,95.8,1000
2019-09-12,95.8,95.8,90.96,91.93,1181
2019-09-15,92.9,92.9,89.03,91.93,1120
2019-09-16,91.93,91.93,89.99,89.99,1440
2019-09-17,89.99,89.99,88.06,89.99,2680
2019-09-18,89.02,92.89,89.02,91.93,760
2019-09-19,92.9,93.87,92.9,93.87,260
2019-09-22,92.9,92.9,88.06,89.03,350
2019-09-23,88.06,90.97,88.06,89.03,560
2019-09-24,89.03,90.0,89.03,90.0,310
2019-09-26,89.02,92.94,88.05,92.94,450
2019-09-29,92.93,95.87,92.93,93.91,1430
2019-09-30,92.94,92.94,92.94,92.94,60
2019-10-01,92.94,92.94,91.96,92.94,725
2019-10-02,91.96,91.96,90.98,91.96,280
2019-10-10,90.99,90.99,90.99,90.99,70
2019-10-14,90.98,90.98,90.0,90.0,470
2019-10-15,90.01,90.98,90.01,90.98,110
2019-10-16,91.96,91.96,90.98,90.98,629
2019-10-17,90.99,91.97,90.99,91.97,220
2019-10-20,90.99,91.97,90.99,90.99,130
2019-10-21,90.01,90.99,90.01,90.99,330
2019-10-22,90.01,91.97,90.01,90.99,150
2019-10-23,90.01,90.99,90.01,90.01,380
2019-10-24,89.03,92.94,89.03,92.94,150
2019-10-31,91.97,91.97,90.99,91.97,200
2019-11-03,90.99,93.93,90.01,93.93,570
2019-11-04,92.95,94.9,91.97,93.93,430
2019-11-05,93.92,95.88,93.92,94.9,560
2019-11-06,93.92,94.9,92.95,94.9,470
2019-11-07,93.93,93.93,90.99,93.93,840
2019-11-10,92.95,93.93,90.99,90.99,740
2019-11-11,90.99,91.97,90.02,90.99,450
2019-11-12,90.01,91.97,90.01,90.01,200
2019-11-13,90.01,91.97,89.04,90.99,984
2019-11-14,91.0,99.8,91.97,99.8,5190
2019-11-17,101.75,109.58,101.75,109.58,3170
2019-11-18,114.48,120.35,105.67,105.67,5020
2019-11-19,104.69,104.69,101.75,104.69,3250
2019-11-20,102.73,104.69,100.77,100.77,790
2019-11-21,100.77,101.75,100.77,100.77,850
2019-11-24,98.82,98.82,97.84,98.82,890
2019-11-25,97.84,99.8,97.84,99.8,250
2019-11-26,99.8,103.71,97.84,98.82,580
2019-11-27,96.86,97.84,96.86,96.86,170
2019-11-28,95.88,101.75,94.9,101.75,420
2019-11-28,100.72,106.89,99.7,106.89,420
2019-12-01,106.89,106.89,102.78,102.78,910
2019-12-02,102.78,106.89,102.78,106.89,560
2019-12-03,104.83,108.94,104.83,106.89,370
2019-12-04,104.83,107.91,104.83,107.91,210
2019-12-05,105.85,107.91,103.8,104.83,1210
2019-12-08,102.77,105.85,102.77,104.83,290
2019-12-09,102.77,106.88,102.77,104.83,360
2019-12-10,105.85,110.99,105.85,109.96,5090
2019-12-11,109.96,112.02,108.94,112.02,1620
2019-12-12,110.99,119.21,109.96,112.02,1428
2019-12-15,112.02,112.02,107.91,109.97,2090
2019-12-16,107.9,111.01,107.9,108.94,550
2019-12-17,108.94,112.05,108.94,112.05,800
2019-12-18,109.98,109.98,107.9,107.9,220
2019-12-19,106.87,108.94,106.87,107.9,340
2019-12-22,107.91,118.29,107.91,118.29,1330
2019-12-23,116.21,116.21,109.98,109.98,308
2019-12-24,107.9,120.35,107.9,120.35,1985
2019-12-25,120.35,122.42,109.97,122.42,3720
2019-12-26,120.34,120.34,112.04,113.08,840
2019-12-29,111.0,113.08,109.97,112.04,1045
2019-12-30,112.04,112.04,111.0,112.04,420
2019-12-31,109.97,113.08,108.93,112.04,1420
2020-01-01,112.04,114.11,111.0,114.11,5730
2020-01-02,114.12,117.23,113.08,117.23,3330
2020-01-05,117.23,119.3,115.15,115.15,2390
2020-01-06,113.08,117.23,111.0,116.19,8160
2020-01-07,118.26,120.34,116.19,117.23,2138
2020-01-08,118.26,121.38,117.23,119.3,2840
2020-01-09,118.26,120.34,118.26,119.3,1152
2020-01-12,117.23,123.45,117.23,123.45,960
2020-01-13,122.41,134.86,120.34,127.6,11477
2020-01-14,126.56,129.67,121.38,127.6,1270
2020-01-15,125.53,140.05,123.45,140.05,4328
2020-01-16,140.05,146.27,134.86,146.27,5340
2020-01-19,145.23,159.76,145.23,145.23,7680
2020-01-20,145.23,145.23,130.71,130.71,3170
2020-01-21,129.67,143.15,125.52,143.15,2280
2020-01-22,141.07,141.07,130.7,130.7,350
2020-01-23,130.71,130.71,125.52,126.56,2360
2020-01-26,124.48,128.63,124.48,128.63,1120
2020-01-27,127.58,131.79,125.47,128.63,18295
2020-01-28,127.58,131.79,126.52,126.52,6860
2020-01-29,126.52,130.74,125.46,130.74,440
2020-01-30,128.62,131.79,128.62,129.68,770
2020-02-02,127.57,130.73,123.35,128.63,8920
2020-02-03,126.52,136.01,126.52,133.9,4160
2020-02-04,131.79,133.9,129.69,130.74,1930
2020-02-05,128.63,131.79,126.52,130.74,1060
2020-02-06,129.68,132.84,127.57,132.84,670
2020-02-09,131.8,136.01,129.69,131.8,14241
2020-02-10,129.69,131.8,129.69,129.69,725
2020-02-11,127.58,133.91,127.58,131.8,1030
2020-02-12,130.75,132.85,128.64,129.69,1150
2020-02-13,127.58,131.8,127.58,129.69,1021
2020-02-16,127.59,138.13,126.53,136.02,3400
2020-02-17,133.91,140.24,130.75,140.24,5450
2020-02-18,138.13,139.18,133.91,133.91,5690
2020-02-19,131.8,136.02,129.69,133.91,790
2020-02-23,131.8,138.13,129.7,138.13,8070
2020-02-24,138.13,138.13,129.7,138.13,2950
2020-02-25,136.03,140.24,134.97,137.08,6890
2020-02-26,139.19,143.41,137.08,137.08,6116
2020-02-27,136.03,139.19,133.92,137.08,3410
2020-03-01,137.07,139.18,130.75,130.75,1910
2020-03-02,132.86,132.86,128.64,128.64,1150
2020-03-03,128.64,131.81,126.53,128.64,2620
2020-03-04,126.53,128.64,124.42,125.48,2270
2020-03-05,124.42,126.53,122.32,122.32,1690
