timestamp,open,high,low,close,volume
2012-09-09,43.22,43.22,40.26,43.22,50
2012-09-10,43.22,47.42,43.96,47.42,254
2012-09-11,47.42,52.11,48.16,52.11,376
2012-09-12,52.11,57.3,53.1,57.3,1131
2012-09-13,57.3,62.98,58.28,62.98,27430
2012-09-16,62.98,64.21,60.01,64.21,9406
2012-09-17,64.21,66.68,62.48,66.68,6296
2012-09-18,66.68,68.41,64.21,67.92,8686
2012-09-19,67.92,66.93,64.46,66.68,4336
2012-09-20,66.68,65.94,64.21,64.21,11416
2012-09-23,64.21,62.98,60.51,61.0,5384
2012-09-24,61.0,61.74,60.51,61.25,9768
2012-09-25,61.25,61.5,60.26,61.25,4830
2012-09-26,61.25,61.5,60.26,61.0,7227
2012-09-27,61.0,61.5,59.27,60.51,4600
2012-09-30,60.51,61.0,58.78,60.26,7236
2012-10-01,60.26,60.51,59.27,60.01,5064
2012-10-02,60.01,61.25,59.77,61.25,2854
2012-10-03,61.25,61.99,60.26,61.25,3424
2012-10-04,61.25,61.74,60.26,61.74,3162
2012-10-07,61.74,62.98,61.25,62.24,6485
2012-10-08,62.24,62.48,60.51,62.24,7223
2012-10-09,62.24,63.22,61.74,63.22,3945
2012-10-10,63.22,63.22,61.99,62.48,1964
2012-10-11,62.48,62.24,61.74,61.99,3846
2012-10-14,61.99,62.73,61.99,62.73,1029
2012-10-15,62.73,62.73,61.5,62.24,1589
2012-10-17,62.24,64.21,61.0,64.21,2975
2012-10-18,64.21,65.69,64.21,65.69,3263
2012-10-30,65.69,67.92,64.95,66.68,2478
2012-10-31,66.68,70.39,67.92,68.66,4291
2012-11-01,68.66,70.88,66.43,70.88,2017
2012-11-04,70.88,74.34,67.92,73.1,16234
2012-11-05,73.1,75.82,69.89,73.35,12136
2012-11-06,73.35,75.08,71.13,75.08,4876
2012-11-07,75.08,76.56,74.09,76.56,8988
2012-11-08,76.56,81.5,75.57,76.07,9282
2012-11-11,76.07,80.02,71.37,72.36,9640
2012-11-12,72.36,77.79,72.36,77.3,3044
2012-11-18,77.3,80.51,76.56,78.54,2200
2012-11-20,78.54,82.73,78.04,82.24,7312
2012-11-21,82.24,84.96,79.28,84.71,10747
2012-11-22,84.71,84.96,81.5,84.46,9816
2012-11-25,84.46,91.38,84.71,86.93,13675
2012-11-26,86.93,88.66,82.49,88.66,130815
2012-11-27,88.66,91.13,85.2,90.39,15772
2012-11-28,90.39,95.08,90.88,93.85,17520
2012-11-29,93.85,97.55,92.12,93.85,12950
2012-12-02,93.85,93.85,90.39,91.38,9600
2012-12-03,91.38,91.38,87.67,89.9,5403
2012-12-04,89.9,94.34,90.88,93.85,11242
2012-12-05,93.85,98.79,93.6,98.79,14715
2012-12-06,98.79,99.78,95.08,99.78,29266
2012-12-09,99.78,98.29,94.59,95.58,12055
2012-12-10,95.58,97.06,94.84,96.07,9827
2012-12-11,96.07,96.81,95.82,96.32,12681
2012-12-13,96.32,98.05,97.06,97.55,8951
2012-12-16,97.55,106.2,97.8,105.95,27653
2012-12-17,105.95,110.39,106.2,108.17,36008
